date,thck
2023-08-21,4.5999999
2023-08-22,-9999
2023-08-23,-9999
2023-08-24,13.8599997
2023-08-25,2.77999994
2023-08-26,7.17999984
2023-08-27,3.07999993
2023-08-28,14.8499997
2023-08-29,7.07999984
2023-08-30,-9999
2023-08-31,1.44999997
2023-09-01,10.1699998
2023-09-02,9.19999979
2023-09-03,8.10999982
2023-09-04,9.87999978
2023-09-05,-9999
2023-09-06,-9999
2023-09-07,-9999
2023-09-08,-9999
2023-09-09,26.6699994
2023-09-10,2.99999993
2023-09-11,-9999
2023-09-12,14.9599997
2023-09-13,12.3999997
2023-09-14,-9999
2023-09-15,-9999
2023-09-16,-9999
2023-09-17,-9999
2023-09-18,-9999
2023-09-19,5.48999988
2023-09-20,7.13999984
2023-09-21,-9999
2023-09-22,-9999
2023-09-23,-9999
2023-09-24,-9999
2023-09-25,-9999
2023-09-26,2.80999994
2023-09-27,-9999
2023-09-28,-9999
2023-09-29,-9999
2023-09-30,10.3199998
2023-10-01,6.84999985
2023-10-02,-9999
2023-10-03,34.6099992
2023-10-04,3.04999993
2023-10-05,15.5499997
2023-10-06,1.12999997
2023-10-07,9.41999979
2023-10-08,6.65999985
2023-10-09,3.23999993
2023-10-10,7.43999983
2023-10-11,11.4299997
2023-10-12,14.8899997
2023-10-13,3.76999992
2023-10-14,7.07999984
2023-10-15,30.4499993
2023-10-16,-9999
2023-10-17,20.8799995
2023-10-18,8.15999982
2023-10-19,45.139999
2023-10-20,21.3399995
2023-10-21,9.19999979
2023-10-22,-9999
2023-10-23,-9999
2023-10-24,16.4399996
2023-10-25,-9999
2023-10-26,0.729999984
2023-10-27,37.9299992
2023-10-28,7.16999984
2023-10-29,49.8099989
2023-10-30,9.1199998
2023-10-31,13.8399997
2023-11-01,3.66999992
2023-11-02,55.3899988
2023-11-03,0.859999981
2023-11-04,-9999
2023-11-05,-9999
2023-11-06,0.569999987
2023-11-07,-9999
2023-11-08,-9999
2023-11-09,2.46999994
2023-11-10,2.33999995
2023-11-11,-9999
2023-11-12,23.6999995
2023-11-13,-9999
2023-11-14,28.1999994
2023-11-15,14.4199997
2023-11-16,12.0799997
2023-11-17,26.9499994
2023-11-18,3.93999991
2023-11-19,86.7499981
2023-11-20,9.85999978
2023-11-21,-9999
2023-11-22,-9999
2023-11-23,-9999
2023-11-24,-9999
2023-11-25,-9999
2023-11-26,25.4199994
2023-11-27,22.7699995
2023-11-28,25.6799994
2023-11-29,0.109999998
2023-11-30,-9999
2023-12-01,-9999
2023-12-02,-9999
2023-12-03,-9999
2023-12-04,0.139999997
2023-12-05,20.5399995
2023-12-06,38.3499991
2023-12-07,22.9799995
2023-12-08,9.98999978
2023-12-09,21.2499995
2023-12-10,-9999
2023-12-11,14.7299997
2023-12-12,42.2899991
2023-12-13,48.0799989
2023-12-14,1.15999997
2023-12-15,-9999
2023-12-16,-9999
2023-12-17,6.77999985
2023-12-18,5.52999988
2023-12-19,-9999
2023-12-20,1.30999997
2023-12-21,-9999
2023-12-22,87.599998
2023-12-23,60.5399986
2023-12-24,27.9699994
2023-12-25,4.5099999
2023-12-26,-9999
2023-12-27,16.7299996
2023-12-28,3.98999991
2023-12-29,11.2299997
2023-12-30,4.77999989
2023-12-31,13.6899997
2024-01-01,7.55999983
2024-01-02,11.1399998
2024-01-03,41.6599991
2024-01-04,17.2799996
2024-01-05,46.069999
2024-01-06,6.08999986
2024-01-07,-9999
2024-01-08,-9999
2024-01-09,3.95999991
2024-01-10,50.9699989
2024-01-11,31.9399993
2024-01-12,27.6299994
2024-01-13,59.8499987
2024-01-14,22.4799995
2024-01-15,37.3199992
2024-01-16,14.0199997
2024-01-17,7.44999983
2024-01-18,1.69999996
2024-01-19,-9999
2024-01-20,0.989999978
2024-01-21,7.85999982
2024-01-22,7.59999983
