date,vpr
2023-08-05,2.1450001
2023-08-06,1.65200008
2023-08-07,2.35900011
2023-08-08,1.19800006
2023-08-09,1.70200008
2023-08-10,1.21900006
2023-08-11,-9999
2023-08-12,-9999
2023-08-13,1.11000005
2023-08-14,2.41600011
2023-08-15,2.0250001
2023-08-16,2.30700011
2023-08-17,2.1650001
2023-08-18,2.27200011
2023-08-19,2.53900012
2023-08-20,1.17400006
2023-08-21,1.36700006
2023-08-22,-9999
2023-08-23,1.91000009
2023-08-24,1.00900005
2023-08-25,2.0440001
2023-08-26,2.26100011
2023-08-27,1.64500008
2023-08-28,2.0160001
2023-08-29,2.0540001
2023-08-30,1.80500009
2023-08-31,2.35000011
2023-09-01,1.85600009
2023-09-02,1.78900008
2023-09-03,1.18700006
2023-09-04,2.1950001
2023-09-05,-9999
2023-09-06,-9999
2023-09-07,1.29300006
2023-09-08,-9999
2023-09-09,1.45300007
2023-09-10,1.64400008
2023-09-11,2.26400011
2023-09-12,1.72700008
2023-09-13,1.39300007
2023-09-14,-9999
2023-09-15,-9999
2023-09-16,-9999
2023-09-17,1.53300007
2023-09-18,-9999
2023-09-19,2.0840001
2023-09-20,1.77900008
2023-09-21,0.735000035
2023-09-22,2.0780001
2023-09-23,-9999
2023-09-24,2.0490001
2023-09-25,2.1620001
2023-09-26,1.50100007
2023-09-27,-9999
2023-09-28,-9999
2023-09-29,2.1100001
2023-09-30,1.42600007
2023-10-01,0.617000029
2023-10-02,0.289000014
2023-10-03,1.04000005
2023-10-04,0.362000017
2023-10-05,0.792000038
2023-10-06,1.77200008
2023-10-07,1.37400007
2023-10-08,2.0460001
2023-10-09,0.920000044
2023-10-10,2.0650001
2023-10-11,0.901000043
2023-10-12,1.18800006
2023-10-13,1.29400006
2023-10-14,2.32100011
2023-10-15,1.28500006
2023-10-16,-9999
2023-10-17,1.14600005
2023-10-18,0.983000047
2023-10-19,1.48100007
2023-10-20,1.99900009
2023-10-21,1.03300005
2023-10-22,1.76100008
2023-10-23,1.95800009
2023-10-24,1.17500006
2023-10-25,1.95600009
2023-10-26,0.806000038
2023-10-27,0.265000013
2023-10-28,1.02200005
2023-10-29,0.541000026
2023-10-30,0.588000028
2023-10-31,0.790000038
2023-11-01,2.0580001
2023-11-02,1.24600006
2023-11-03,1.14600005
2023-11-04,-9999
2023-11-05,-9999
2023-11-06,2.53000012
2023-11-07,1.84300009
2023-11-08,1.96400009
2023-11-09,1.91200009
2023-11-10,1.26400006
2023-11-11,0.102000005
2023-11-12,0.222000011
2023-11-13,-9999
2023-11-14,0.870000041
2023-11-15,1.63100008
2023-11-16,1.36300006
2023-11-17,1.07100005
2023-11-18,1.05900005
2023-11-19,0.464000022
2023-11-20,0.604000029
2023-11-21,1.02500005
2023-11-22,0.20100001
2023-11-23,0.953000045
2023-11-24,1.20400006
2023-11-25,0.0810000038
2023-11-26,0.897000043
2023-11-27,0.43000002
2023-11-28,0.494000023
2023-11-29,1.08700005
2023-11-30,0.388000018
2023-12-01,1.16400006
2023-12-02,-9999
2023-12-03,0.350000017
2023-12-04,1.56300007
2023-12-05,0.360000017
2023-12-06,0.661000031
2023-12-07,0.254000012
2023-12-08,0.345000016
2023-12-09,0.62200003
2023-12-10,0.512000024
2023-12-11,1.13300005
2023-12-12,0.83200004
2023-12-13,0.744000035
2023-12-14,1.20800006
2023-12-15,0.978000046
2023-12-16,0.292000014
2023-12-17,0.41400002
2023-12-18,0.995000047
2023-12-19,-9999
2023-12-20,0.511000024
2023-12-21,0.0480000023
2023-12-22,0.459000022
2023-12-23,0.757000036
2023-12-24,0.903000043
2023-12-25,1.12400005
2023-12-26,-9999
2023-12-27,0.563000027
2023-12-28,2.1230001
2023-12-29,1.16700006
2023-12-30,1.14000005
2023-12-31,0.349000017
