b650nm,date
2277.0,2025-02-10
1409.0,2025-02-11
7098.0,2025-02-12
4162.0,2025-02-13
2250.0,2025-02-14
1751.0,2025-02-15
10903.0,2025-02-16
2009.0,2025-02-17
1514.0,2025-02-18
6105.0,2025-02-19
1265.0,2025-02-20
2308.0,2025-02-21
6315.0,2025-02-22
1292.0,2025-02-23
1847.0,2025-02-24
1825.0,2025-02-25
949.0,2025-02-26
2044.0,2025-02-27
1416.0,2025-02-28
2141.0,2025-03-01
1576.0,2025-03-02
4625.0,2025-03-03
2008.0,2025-03-04
1366.0,2025-03-05
2283.0,2025-03-06
8224.0,2025-03-07
931.0,2025-03-08
1938.0,2025-03-09
1221.0,2025-03-10
2141.0,2025-03-11
1671.0,2025-03-12
1093.0,2025-03-13
2317.0,2025-03-14
1357.0,2025-03-15
2187.0,2025-03-16
1842.0,2025-03-17
810.0,2025-03-18
2042.0,2025-03-19
