date,ctp-night
2022-12-17,869.300013
2022-12-18,643.20001
2022-12-19,653.30001
2022-12-20,916.000014
2022-12-21,852.400013
2022-12-22,498.300007
2022-12-23,739.400011
2022-12-24,739.600011
2022-12-25,342.400005
2022-12-26,806.700012
2022-12-27,820.400012
2022-12-28,870.800013
2022-12-29,775.300012
2022-12-30,779.100012
2022-12-31,826.300012
2023-01-01,642.50001
2023-01-02,780.300012
2023-01-03,634.200009
2023-01-04,808.900012
2023-01-05,725.500011
2023-01-06,817.100012
2023-01-07,844.600013
2023-01-08,731.600011
2023-01-09,795.700012
2023-01-10,870.200013
2023-01-11,644.10001
2023-01-12,585.000009
2023-01-13,453.800007
2023-01-14,749.600011
2023-01-15,619.000009
2023-01-16,779.900012
2023-01-17,810.700012
2023-01-18,749.000011
2023-01-19,623.500009
2023-01-20,638.80001
2023-01-21,746.400011
2023-01-22,718.000011
2023-01-23,820.500012
2023-01-24,768.100011
2023-01-25,902.500013
2023-01-26,720.500011
2023-01-27,452.500007
2023-01-28,893.800013
2023-01-29,836.200012
2023-01-30,492.800007
2023-01-31,576.900009
2023-02-01,697.60001
2023-02-02,805.500012
2023-02-03,415.800006
2023-02-04,679.90001
2023-02-05,692.30001
2023-02-06,-9999
2023-02-07,592.500009
2023-02-08,673.90001
2023-02-09,557.400008
2023-02-10,806.000012
2023-02-11,724.800011
2023-02-12,836.600012
2023-02-13,832.600012
2023-02-14,826.600012
2023-02-15,762.800011
2023-02-16,842.900013
2023-02-17,811.700012
2023-02-18,732.300011
2023-02-19,665.50001
2023-02-20,798.400012
2023-02-21,835.900012
2023-02-22,829.600012
2023-02-23,804.900012
2023-02-24,798.000012
2023-02-25,908.000014
2023-02-26,708.500011
2023-02-27,869.100013
2023-02-28,760.700011
2023-03-01,627.700009
2023-03-02,681.60001
2023-03-03,899.700013
2023-03-04,829.300012
2023-03-05,845.500013
2023-03-06,858.100013
2023-03-07,315.000005
2023-03-08,815.200012
2023-03-09,771.900012
2023-03-10,712.000011
2023-03-11,572.000009
2023-03-12,404.600006
2023-03-13,385.900006
2023-03-14,322.700005
2023-03-15,753.700011
2023-03-16,454.900007
2023-03-17,712.100011
2023-03-18,-9999
2023-03-19,728.200011
2023-03-20,880.600013
2023-03-21,215.000003
2023-03-22,207.600003
2023-03-23,487.000007
2023-03-24,381.800006
2023-03-25,840.400013
2023-03-26,796.900012
2023-03-27,853.300013
2023-03-28,871.000013
2023-03-29,705.700011
2023-03-30,703.60001
2023-03-31,803.400012
2023-04-01,864.000013
2023-04-02,793.500012
2023-04-03,818.900012
2023-04-04,816.700012
2023-04-05,804.400012
2023-04-06,794.800012
2023-04-07,634.900009
2023-04-08,260.500004
2023-04-09,266.300004
2023-04-10,788.400012
2023-04-11,747.200011
2023-04-12,587.300009
2023-04-13,864.900013
2023-04-14,663.80001
2023-04-15,795.500012
2023-04-16,819.500012
2023-04-17,845.400013
2023-04-18,781.000012
2023-04-19,389.200006
2023-04-20,878.700013
2023-04-21,532.700008
2023-04-22,778.400012
2023-04-23,840.600013
2023-04-24,908.600014
2023-04-25,769.000011
2023-04-26,603.500009
2023-04-27,785.800012
2023-04-28,798.900012
2023-04-29,770.500011
2023-04-30,881.900013
2023-05-01,596.200009
2023-05-02,820.100012
2023-05-03,652.50001
2023-05-04,868.700013
2023-05-05,777.900012
2023-05-06,650.70001
2023-05-07,832.000012
2023-05-08,917.600014
2023-05-09,764.300011
2023-05-10,803.100012
2023-05-11,605.800009
2023-05-12,882.300013
2023-05-13,819.000012
2023-05-14,487.100007
2023-05-15,685.00001
2023-05-16,706.300011
2023-05-17,860.200013
2023-05-18,567.100008
2023-05-19,855.400013
2023-05-20,569.200008
2023-05-21,368.500005
2023-05-22,921.000014
2023-05-23,842.900013
2023-05-24,691.10001
2023-05-25,910.900014
2023-05-26,741.100011
2023-05-27,253.800004
2023-05-28,844.400013
2023-05-29,903.400013
2023-05-30,870.400013
2023-05-31,816.200012
2023-06-01,205.800003
2023-06-02,678.10001
2023-06-03,862.100013
2023-06-04,846.400013
2023-06-05,865.400013
2023-06-06,847.700013
2023-06-07,650.20001
2023-06-08,248.000004
2023-06-09,829.100012
2023-06-10,889.700013
2023-06-11,722.600011
2023-06-12,869.900013
2023-06-13,840.600013
2023-06-14,909.900014
2023-06-15,893.300013
2023-06-16,824.200012
2023-06-17,819.100012
2023-06-18,810.400012
2023-06-19,809.200012
2023-06-20,854.900013
2023-06-21,859.500013
2023-06-22,884.900013
2023-06-23,748.300011
2023-06-24,-9999
2023-06-25,713.300011
2023-06-26,897.800013
2023-06-27,915.600014
2023-06-28,886.000013
2023-06-29,913.100014
2023-06-30,916.500014
2023-07-01,949.400014
2023-07-02,925.300014
2023-07-03,973.500015
2023-07-04,963.600014
2023-07-05,781.700012
2023-07-06,889.900013
2023-07-07,877.900013
2023-07-08,904.300013
2023-07-09,886.200013
2023-07-10,960.000014
2023-07-11,-9999
2023-07-12,948.100014
2023-07-13,970.900014
2023-07-14,969.200014
2023-07-15,-9999
2023-07-16,965.400014
2023-07-17,951.600014
2023-07-18,988.300015
2023-07-19,890.000013
2023-07-20,935.000014
2023-07-21,927.500014
2023-07-22,960.000014
2023-07-23,976.200015
2023-07-24,960.000014
2023-07-25,961.000014
2023-07-26,935.000014
2023-07-27,705.000011
2023-07-28,956.800014
2023-07-29,934.700014
2023-07-30,951.400014
2023-07-31,960.000014
2023-08-01,962.800014
2023-08-02,923.500014
2023-08-03,976.100015
2023-08-04,960.000014
2023-08-05,936.500014
2023-08-06,-9999
2023-08-07,936.500014
2023-08-08,883.800013
2023-08-09,870.600013
2023-08-10,916.900014
2023-08-11,923.400014
2023-08-12,871.700013
2023-08-13,596.700009
2023-08-14,825.500012
2023-08-15,879.000013
2023-08-16,888.200013
2023-08-17,936.500014
2023-08-18,846.100013
2023-08-19,799.000012
2023-08-20,840.600013
2023-08-21,775.500012
2023-08-22,851.500013
2023-08-23,822.200012
2023-08-24,961.500014
2023-08-25,933.300014
2023-08-26,937.500014
2023-08-27,851.700013
2023-08-28,808.900012
2023-08-29,937.300014
2023-08-30,957.400014
2023-08-31,943.400014
2023-09-01,920.500014
2023-09-02,933.700014
2023-09-03,918.300014
2023-09-04,916.500014
2023-09-05,939.100014
2023-09-06,-9999
2023-09-07,-9999
2023-09-08,954.500014
2023-09-09,858.600013
2023-09-10,922.800014
2023-09-11,720.400011
2023-09-12,690.30001
2023-09-13,755.100011
2023-09-14,800.000012
2023-09-15,819.200012
2023-09-16,-9999
2023-09-17,814.100012
2023-09-18,904.700013
2023-09-19,880.800013
2023-09-20,863.100013
2023-09-21,877.700013
2023-09-22,941.700014
2023-09-23,930.000014
2023-09-24,952.600014
2023-09-25,907.500014
2023-09-26,912.900014
2023-09-27,800.000012
2023-09-28,-9999
2023-09-29,918.000014
2023-09-30,606.900009
2023-10-01,683.50001
2023-10-02,769.500011
2023-10-03,903.100013
2023-10-04,355.700005
2023-10-05,816.200012
2023-10-06,818.400012
2023-10-07,395.800006
2023-10-08,696.20001
2023-10-09,326.600005
2023-10-10,871.300013
2023-10-11,913.100014
2023-10-12,933.800014
2023-10-13,861.100013
