date,tb-day
2024-02-23,227.459995
2024-02-24,262.859994
2024-02-25,284.609994
2024-02-26,265.839994
2024-02-27,269.199994
2024-02-28,264.029994
2024-02-29,283.919994
2024-03-01,282.959994
2024-03-02,277.579994
2024-03-03,261.549994
2024-03-04,277.449994
2024-03-05,283.909994
2024-03-06,277.239994
2024-03-07,275.939994
2024-03-08,272.889994
2024-03-09,266.259994
2024-03-10,284.279994
2024-03-11,277.369994
2024-03-12,273.359994
2024-03-13,264.349994
2024-03-14,272.029994
2024-03-15,278.619994
2024-03-16,222.089995
2024-03-17,246.099994
2024-03-18,248.899994
2024-03-19,268.449994
2024-03-20,275.609994
2024-03-21,258.069994
2024-03-22,273.679994
2024-03-23,229.669995
2024-03-24,239.979995
2024-03-25,275.539994
2024-03-26,262.719994
2024-03-27,255.779994
2024-03-28,229.699995
2024-03-29,240.799995
2024-03-30,286.539994
2024-03-31,288.449994
2024-04-01,263.339994
2024-04-02,284.259994
2024-04-03,285.599994
2024-04-04,287.899994
2024-04-05,277.049994
2024-04-06,284.569994
2024-04-07,248.869994
2024-04-08,278.039994
2024-04-09,252.779994
2024-04-10,277.099994
2024-04-11,284.499994
2024-04-12,283.539994
2024-04-13,287.789994
2024-04-14,285.949994
2024-04-15,288.959994
2024-04-16,270.279994
2024-04-17,265.929994
2024-04-18,286.999994
2024-04-19,285.839994
2024-04-20,283.199994
2024-04-21,286.229994
2024-04-22,290.249994
2024-04-23,290.599994
2024-04-24,254.019994
2024-04-25,235.079995
2024-04-26,226.819995
2024-04-27,223.549995
2024-04-28,253.209994
2024-04-29,234.899995
2024-04-30,267.479994
2024-05-01,283.309994
2024-05-02,275.119994
2024-05-03,287.399994
2024-05-04,279.049994
2024-05-05,277.229994
2024-05-06,261.599994
2024-05-07,287.569994
2024-05-08,269.859994
2024-05-09,252.039994
2024-05-10,253.689994
2024-05-11,289.419994
2024-05-12,281.359994
2024-05-13,279.899994
2024-05-14,288.499994
2024-05-15,288.779994
2024-05-16,286.979994
2024-05-17,289.209994
2024-05-18,279.539994
2024-05-19,272.109994
2024-05-20,279.869994
2024-05-21,293.459993
2024-05-22,269.229994
2024-05-23,271.639994
2024-05-24,284.919994
2024-05-25,288.229994
2024-05-26,281.199994
2024-05-27,289.439994
2024-05-28,251.699994
2024-05-29,287.849994
2024-05-30,288.919994
2024-05-31,285.849994
2024-06-01,295.319993
2024-06-02,296.529993
2024-06-03,292.979993
2024-06-04,295.809993
2024-06-05,296.949993
2024-06-06,295.799993
2024-06-07,296.379993
2024-06-08,297.109993
2024-06-09,293.259993
2024-06-10,292.959993
2024-06-11,296.029993
2024-06-12,294.919993
2024-06-13,299.489993
2024-06-14,293.429993
2024-06-15,298.079993
2024-06-16,294.619993
2024-06-17,292.119993
2024-06-18,295.219993
2024-06-19,293.269993
2024-06-20,295.059993
2024-06-21,294.529993
2024-06-22,292.919993
2024-06-23,295.149993
2024-06-24,296.479993
2024-06-25,297.109993
2024-06-26,297.579993
2024-06-27,297.699993
2024-06-28,298.169993
2024-06-29,296.129993
2024-06-30,295.789993
2024-07-01,296.499993
2024-07-02,296.329993
2024-07-03,298.049993
2024-07-04,297.519993
2024-07-05,294.189993
2024-07-06,295.199993
2024-07-07,297.479993
2024-07-08,297.349993
2024-07-09,296.969993
2024-07-10,299.779993
2024-07-11,287.719994
2024-07-12,299.399993
2024-07-13,297.419993
2024-07-14,293.679993
2024-07-15,296.899993
2024-07-16,298.389993
2024-07-17,299.189993
2024-07-18,299.079993
2024-07-19,297.799993
2024-07-20,295.409993
2024-07-21,299.199993
2024-07-22,299.309993
2024-07-23,299.449993
2024-07-24,297.699993
2024-07-25,299.499993
2024-07-26,296.269993
2024-07-27,296.299993
2024-07-28,293.269993
2024-07-29,300.829993
2024-07-30,298.469993
2024-07-31,298.079993
2024-08-01,298.769993
2024-08-02,298.749993
2024-08-03,298.249993
2024-08-04,298.539993
2024-08-05,297.749993
2024-08-06,295.089993
2024-08-07,297.569993
2024-08-08,298.069993
2024-08-09,296.879993
2024-08-10,296.029993
2024-08-11,295.699993
2024-08-12,297.959993
2024-08-13,298.799993
2024-08-14,297.809993
2024-08-15,297.769993
2024-08-16,298.269993
2024-08-17,298.839993
2024-08-18,297.569993
2024-08-19,297.499993
2024-08-20,298.079993
2024-08-21,299.089993
2024-08-22,297.369993
2024-08-23,290.439994
2024-08-24,295.569993
2024-08-25,298.589993
2024-08-26,294.709993
2024-08-27,296.659993
2024-08-28,292.949993
2024-08-29,295.879993
2024-08-30,294.659993
2024-08-31,294.639993
2024-09-01,294.769993
2024-09-02,295.809993
2024-09-03,295.309993
2024-09-04,293.599993
2024-09-05,295.739993
2024-09-06,294.619993
2024-09-07,295.719993
2024-09-08,295.139993
2024-09-09,276.979994
2024-09-10,295.849993
2024-09-11,289.919994
2024-09-12,281.129994
2024-09-13,293.719993
2024-09-14,292.209993
2024-09-15,292.609993
2024-09-16,290.659994
2024-09-17,292.509993
2024-09-18,271.249994
2024-09-19,275.659994
2024-09-20,287.869994
2024-09-21,289.859994
2024-09-22,288.949994
2024-09-23,289.989994
2024-09-24,293.829993
2024-09-25,295.119993
2024-09-26,295.859993
2024-09-27,297.409993
2024-09-28,296.519993
2024-09-29,294.959993
2024-09-30,288.379994
2024-10-01,289.629994
2024-10-02,293.089993
2024-10-03,293.329993
2024-10-04,290.959993
2024-10-05,276.799994
2024-10-06,292.549993
2024-10-07,291.909993
2024-10-08,295.599993
2024-10-09,292.439993
2024-10-10,289.229994
2024-10-11,291.449993
2024-10-12,293.129993
2024-10-13,291.719993
2024-10-14,294.599993
2024-10-15,292.639993
2024-10-16,278.439994
2024-10-17,287.029994
2024-10-18,287.549994
2024-10-19,288.359994
2024-10-20,285.199994
2024-10-21,296.039993
2024-10-22,288.699994
2024-10-23,292.779993
2024-10-24,289.479994
2024-10-25,293.619993
2024-10-26,293.599993
2024-10-27,294.279993
2024-10-28,292.019993
2024-10-29,291.179993
2024-10-30,286.409994
2024-10-31,286.869994
2024-11-01,270.889994
2024-11-02,274.129994
2024-11-03,253.459994
2024-11-04,287.389994
2024-11-05,286.649994
2024-11-06,288.279994
2024-11-07,289.159994
2024-11-08,272.959994
2024-11-09,286.669994
2024-11-10,280.589994
2024-11-11,265.159994
2024-11-12,289.339994
2024-11-13,288.589994
2024-11-14,287.059994
2024-11-15,291.959993
2024-11-16,283.689994
2024-11-17,271.689994
2024-11-18,274.779994
2024-11-19,273.379994
2024-11-20,281.109994
2024-11-21,283.149994
2024-11-22,291.609993
2024-11-23,288.969994
2024-11-24,273.449994
2024-11-25,260.009994
2024-11-26,277.139994
2024-11-27,270.949994
2024-11-28,271.659994
2024-11-29,276.839994
2024-11-30,285.179994
2024-12-01,284.669994
2024-12-02,286.169994
2024-12-03,283.119994
2024-12-04,238.009995
2024-12-05,285.629994
2024-12-06,236.809995
2024-12-07,240.129995
2024-12-08,276.739994
2024-12-09,218.879995
2024-12-10,225.449995
2024-12-11,233.879995
2024-12-12,263.759994
2024-12-13,278.889994
2024-12-14,286.299994
2024-12-15,281.019994
2024-12-16,262.849994
2024-12-17,286.379994
2024-12-18,275.189994
2024-12-19,269.669994
2024-12-20,280.479994
2024-12-21,274.909994
2024-12-22,245.839995
2024-12-23,270.789994
2024-12-24,269.869994
2024-12-25,270.519994
2024-12-26,271.539994
2024-12-27,251.999994
2024-12-28,243.689995
2024-12-29,235.469995
2024-12-30,248.319994
2024-12-31,273.849994
2025-01-01,276.629994
2025-01-02,277.419994
2025-01-03,277.099994
2025-01-04,261.109994
2025-01-05,257.129994
2025-01-06,282.989994
2025-01-07,283.189994
2025-01-08,258.129994
2025-01-09,262.729994
2025-01-10,273.469994
2025-01-11,277.839994
2025-01-12,280.219994
2025-01-13,286.189994
2025-01-14,282.909994
2025-01-15,260.659994
2025-01-16,258.009994
2025-01-17,272.269994
2025-01-18,285.649994
2025-01-19,283.059994
2025-01-20,284.349994
2025-01-21,257.209994
2025-01-22,258.399994
2025-01-23,274.859994
2025-01-24,274.769994
2025-01-25,273.749994
2025-01-26,251.919994
2025-01-27,275.709994
2025-01-28,256.779994
2025-01-29,283.629994
2025-01-30,272.889994
2025-01-31,270.669994
2025-02-01,279.039994
2025-02-02,261.329994
2025-02-03,254.459994
2025-02-04,276.149994
2025-02-05,259.629994
2025-02-06,264.889994
2025-02-07,268.079994
2025-02-08,270.509994
2025-02-09,262.149994
2025-02-10,263.859994
2025-02-11,275.479994
2025-02-12,255.349994
2025-02-13,274.079994
2025-02-14,234.179995
2025-02-15,242.799995
2025-02-16,261.809994
2025-02-17,282.799994
2025-02-18,237.439995
2025-02-19,241.019995
2025-02-20,268.829994
2025-02-21,271.109994
2025-02-22,259.089994
2025-02-23,262.799994
2025-02-24,267.809994
2025-02-25,275.019994
2025-02-26,275.139994
2025-02-27,278.459994
2025-02-28,284.299994
2025-03-01,275.049994
2025-03-02,255.279994
2025-03-03,242.019995
2025-03-04,251.669994
2025-03-05,263.849994
2025-03-06,262.449994
2025-03-07,250.229994
2025-03-08,275.359994
2025-03-09,275.339994
2025-03-10,283.939994
2025-03-11,285.709994
2025-03-12,289.219994
2025-03-13,258.119994
2025-03-14,288.039994
2025-03-15,288.249994
2025-03-16,282.299994
2025-03-17,232.079995
2025-03-18,278.249994
2025-03-19,277.859994
2025-03-20,258.129994
