date,meteostat_value,evapotranspiration_value,runoff_value,radio-temp-min_value,sat_value,soil-moist_value,soil-temp_value
2023-03-07,0.1,1.08890967e-08,4.40353369e-06,304.222534,289.355377,0.366888762,294.583771
2023-03-08,1.2,9.25653065e-09,3.49027578e-05,302.453949,289.392609,0.367282182,294.01944
2023-03-09,0.3,1.17178294e-08,3.05305343e-06,306.016479,290.801239,0.366639256,294.799713
2023-03-11,0.0,1.51769921e-08,0.0,308.757477,293.30777,0.365612745,296.640228
2023-03-14,6.3,8.61855654e-09,5.3476233e-05,297.876648,289.023834,0.371227413,294.116119
2023-03-15,8.0,9.67459091e-09,0.000226888238,303.208069,290.248138,0.374270797,294.452148
2023-03-16,1.1,1.23587318e-08,2.9118662e-06,305.470642,291.54541,0.372416466,295.326935
2023-03-17,1.2,1.1224933e-08,1.01390096e-05,303.67215,289.778168,0.372138172,295.138824
2023-03-18,22.8,1.11889422e-08,9.05396882e-05,306.220459,287.700928,0.378968865,295.162079
2023-03-19,19.7,9.22976895e-09,0.000302693603,301.330414,288.7388,0.381731421,293.727753
2023-03-20,2.0,1.33823335e-08,2.47498119e-05,307.573914,289.682892,0.378094107,295.568024
2023-03-21,0.1,1.34169236e-08,4.67236168e-06,307.623596,290.375824,0.37541464,296.002472
2023-03-22,0.0,1.1382979e-08,4.60702374e-08,306.107758,291.519073,0.373373985,295.765533
2023-03-23,0.5,9.2803889e-09,5.81375673e-07,300.958191,293.162933,0.371794432,294.647369
2023-03-24,4.1,1.41012846e-08,7.5676445e-07,308.952179,291.581543,0.3716892,297.600067
2023-03-25,0.7,9.01439901e-09,6.65035332e-05,305.095673,290.863434,0.372047812,295.86911
2023-03-26,1.7,1.38277771e-08,1.24723929e-05,310.221069,290.543427,0.37099573,297.532806
2023-03-28,0.0,1.31187621e-08,0.0,306.710297,289.661072,0.369462967,296.345032
2023-03-29,1.5,9.40911793e-09,2.70604269e-05,300.16803,286.441681,0.370958239,293.842072
2023-03-30,4.1,7.93731214e-09,7.05902494e-05,294.792419,286.62912,0.370612055,291.175934
2023-04-05,2.1,1.31566233e-08,1.47231694e-05,307.913025,290.47818,0.366923422,297.474182
2023-04-08,0.0,1.34253462e-08,0.0,308.74408,296.082642,0.365465075,297.885529
2023-04-10,0.5,1.98452454e-08,6.46860644e-06,313.502655,290.028107,0.366369992,301.632721
2023-04-11,8.2,8.79405793e-09,4.76229434e-05,301.513916,287.625793,0.376429886,295.59201
2023-04-12,14.2,4.55580063e-09,0.00052260462,290.186859,288.816467,0.389781922,290.533569
2023-04-13,27.1,8.49888337e-09,0.000264025439,301.255127,290.682617,0.384928823,293.170288
2023-04-17,0.0,2.23304273e-08,3.81433097e-07,315.744507,296.924561,0.372939676,302.332306
2023-04-19,0.0,2.57837645e-08,1.34692345e-06,318.440369,292.07309,0.370521337,303.947968
2023-04-20,0.1,1.5649265e-08,5.95521851e-06,309.264191,291.291626,0.369637132,300.23111
2023-04-22,0.0,1.69262879e-08,0.0,312.218658,292.575287,0.368045062,299.84079
2023-04-23,0.0,1.97720649e-08,0.0,314.33493,292.421356,0.367412567,301.048523
2023-04-24,0.0,1.98817602e-08,0.0,313.262207,292.01828,0.366862267,300.919525
2023-04-26,0.0,2.0408093e-08,0.0,313.445221,293.468628,0.365951866,301.185028
2023-04-27,0.0,2.35652724e-08,0.0,315.081848,291.419556,0.366797209,302.215149
2023-04-28,6.4,1.46568189e-08,8.06922835e-05,308.600006,289.784515,0.371587187,299.057037
2023-04-29,24.8,1.35337066e-08,0.000181176132,307.575165,290.350616,0.375852466,297.398956
2023-04-30,0.7,1.48626969e-08,7.27091028e-05,308.550842,291.344177,0.374418139,297.867889
2023-05-03,0.0,2.15629754e-08,0.0,315.080566,297.182831,0.369829446,301.746216
2023-05-06,7.0,1.79802182e-08,1.29094333e-05,311.798584,292.815826,0.369072825,301.522552
2023-05-07,5.1,1.60315832e-08,4.86035169e-05,310.589844,292.555939,0.369311899,300.590271
2023-05-08,0.1,1.93956673e-08,1.25013757e-05,314.121155,293.316376,0.368426889,301.736847
2023-05-11,0.0,2.36335165e-08,1.13741328e-06,316.334595,296.040619,0.366468996,303.830627
2023-05-17,0.0,2.71193414e-08,0.0,318.471252,294.624237,0.364296317,305.981598
2023-05-20,1.8,1.90347382e-08,7.31603905e-06,313.400574,294.58075,0.363990307,302.138763
2023-05-23,0.3,1.98421883e-08,1.94612562e-06,314.493896,296.463593,0.363452286,303.359283
2023-05-24,0.0,2.21510117e-08,0.0,315.519318,295.967682,0.363256305,303.708527
2023-05-27,0.4,2.84983912e-08,1.36072947e-06,318.513489,298.474518,0.362976104,306.112427
2023-05-28,0.2,2.73018816e-08,2.32166476e-05,318.890564,295.141083,0.363590926,307.029877
2023-05-29,0.0,2.10768558e-08,2.17653039e-07,316.107361,295.120514,0.363341451,304.954987
2023-05-30,0.0,2.46474894e-08,6.7370145e-08,318.365112,295.773254,0.363113135,305.61026
2023-06-06,0.0,2.73877436e-08,0.0,319.451263,297.316345,0.362102956,306.322327
2023-06-07,0.0,2.87777837e-08,0.0,320.460419,298.860352,0.361977786,307.286896
2023-06-08,0.0,2.43414018e-08,2.0011727e-10,317.719513,300.176636,0.361939341,306.182098
2023-06-18,1.3,2.34930386e-08,8.19765683e-06,317.729401,297.185364,0.361803025,306.384399
2023-06-19,0.2,2.41834286e-08,8.64887534e-06,316.879669,297.408478,0.361849815,306.071014
2023-06-23,0.0,2.90627664e-08,0.0,320.117798,300.501953,0.361243635,308.241028
2023-06-24,0.0,3.37226815e-08,0.0,322.916718,300.463104,0.361118942,309.311798
2023-06-25,0.0,3.34083516e-08,0.0,322.416077,299.434875,0.361007452,309.554535
2023-06-28,0.0,2.71075322e-08,0.0,320.216003,298.829376,0.360723406,308.042755
2023-07-03,0.0,2.96351246e-08,0.0,321.827606,300.515594,0.360335976,309.170807
2023-07-04,0.0,3.08683248e-08,0.0,322.464172,299.674988,0.360266954,309.774292
2023-07-09,0.0,2.45220324e-08,3.41063725e-07,319.587311,300.673309,0.36000216,308.642975
2023-07-10,0.0,3.0997235e-08,3.83578936e-07,322.441467,301.620941,0.359940559,310.144501
2023-07-12,0.0,3.34736576e-08,0.0,323.700653,302.717865,0.359820843,310.275482
2023-07-18,0.0,3.67428612e-08,0.0,324.847839,302.122986,0.359499812,312.158478
2023-07-22,0.0,3.11901864e-08,0.0,322.740692,302.6409,0.359320015,311.014221
2023-07-23,0.0,3.45090605e-08,0.0,325.640289,303.551392,0.359276146,312.315186
2023-07-26,0.0,3.77226854e-08,0.0,326.254211,303.713165,0.359144121,313.059357
2023-07-31,0.0,2.95191089e-08,0.0,322.102905,301.930176,0.358949542,310.622589
2023-08-02,0.0,3.13985602e-08,0.0,322.994263,301.272369,0.358871132,311.154266
2023-08-04,0.0,2.99535294e-08,0.0,321.84375,302.384155,0.358798027,310.518158
2023-08-08,0.0,2.92106588e-08,1.38955784e-06,321.552307,301.161804,0.358710438,310.294891
2023-08-15,0.0,2.71020468e-08,1.70653436e-06,322.155182,301.528229,0.358645916,310.630798
2023-08-16,0.0,2.75754388e-08,2.21615878e-07,321.823486,301.565521,0.358602166,310.561127
2023-08-17,0.0,2.8757853e-08,1.35822049e-07,322.81012,301.518341,0.35855177,310.726105
2023-08-23,0.0,3.10717745e-08,6.59084492e-07,323.37207,301.086517,0.358405709,310.971802
2023-08-26,0.0,2.52742396e-08,1.09581855e-07,320.686218,301.405029,0.3582699,309.607269
2023-08-28,5.6,2.58327955e-08,4.20963515e-05,318.955994,301.729218,0.359909177,308.891754
2023-08-29,1.9,2.43693048e-08,1.4384492e-06,318.633392,301.546051,0.359685183,308.6987
2023-08-30,0.0,2.52190819e-08,0.0,319.960632,301.455078,0.359478265,309.070831
2023-08-31,0.0,2.79551582e-08,0.0,321.809113,301.172516,0.359293073,309.789459
2023-09-01,0.0,2.83243029e-08,0.0,321.880737,300.398285,0.359128445,309.887604
2023-09-04,0.0,2.97741014e-08,1.75770953e-09,322.16272,301.245636,0.358722299,309.546967
2023-09-09,0.0,2.32189787e-08,1.34895981e-06,318.287201,301.096832,0.358368129,308.511078
2023-09-11,0.2,2.86069106e-08,0.0,320.063232,302.611908,0.358253926,309.154083
2023-09-12,0.0,2.6946239e-08,0.0,319.609039,301.4263,0.358175129,308.897797
2023-09-16,0.0,2.96548013e-08,0.0,320.243164,300.743591,0.357903391,308.072906
2023-09-22,0.0,2.28586092e-08,0.0,319.427826,301.488464,0.357644826,307.744232
2023-09-26,0.0,2.21349179e-08,0.0,317.902588,300.012665,0.357487887,307.205414
2023-09-29,0.0,2.74367267e-08,0.0,319.96283,300.219086,0.357422024,307.914978
2023-10-01,1.3,1.5641632e-08,4.62441931e-05,310.490051,298.640778,0.360772222,303.950104
2023-10-02,1.2,1.63422715e-08,5.59239452e-05,310.836304,298.758759,0.361397356,303.352142
2023-10-03,3.9,1.94508267e-08,5.5999426e-06,313.882202,299.011993,0.361154348,304.303802
2023-10-05,0.0,1.96890166e-08,6.79219738e-08,314.432373,299.580261,0.360317498,304.59967
2023-10-06,0.0,2.17215668e-08,0.0,316.409637,299.140747,0.359973639,305.431396
2023-10-07,0.0,1.9368974e-08,5.78668669e-08,315.581696,298.95694,0.359680384,305.218079
2023-10-08,0.0,1.73417245e-08,2.0202134e-07,313.481781,298.955688,0.359413654,304.919464
2023-10-09,0.1,2.10155928e-08,0.0,316.36496,298.53891,0.359406114,305.49527
2023-10-10,3.8,1.863412e-08,1.33384137e-05,314.295135,298.338348,0.359622806,304.77771
2023-10-11,0.4,1.89859417e-08,3.92638412e-06,313.741272,298.385101,0.359403133,304.199188
2023-10-13,0.0,2.01155057e-08,3.40600337e-07,315.416901,298.355316,0.359264493,304.851715
2023-10-15,10.5,1.63127272e-08,0.00031721461,311.044739,296.867462,0.376192689,302.636963
2023-10-16,16.9,1.69960845e-08,0.000126871091,311.569214,297.602325,0.373720884,302.412415
2023-10-17,0.4,1.82669044e-08,4.9755505e-07,313.354584,297.441254,0.371459335,303.173462
2023-10-18,2.6,1.6534818e-08,2.07463981e-05,311.778107,297.561005,0.370726824,302.507843
2023-10-19,2.7,1.56501425e-08,3.35028781e-05,311.064331,297.680634,0.369349986,302.197601
2023-10-20,0.9,1.68768874e-08,1.65381016e-06,311.961334,299.043152,0.36779964,302.594635
2023-10-21,0.0,1.64575287e-08,0.0,312.093933,301.043884,0.366517782,302.735992
2023-10-22,0.0,1.90841263e-08,0.0,314.182709,301.032074,0.365455031,303.643219
2023-10-27,0.0,1.7145636e-08,4.65885153e-09,310.659058,300.693207,0.362070233,303.067108
2023-10-30,0.0,1.52035913e-08,0.0,309.643646,300.784943,0.360896975,302.862274
2023-10-31,3.6,1.68839449e-08,4.61369289e-08,310.535309,300.585876,0.360588193,303.256561
2023-11-01,0.2,1.45433603e-08,1.52063651e-09,306.809021,298.52121,0.360309869,301.830719
2023-11-02,0.0,1.63627885e-08,0.0,312.286682,297.519806,0.360058188,302.555939
